Code,Borough,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13
E09000001,City of London,65120,66410,69800,74510,76200,81300,83050,89340,89680,93380,97030,99390
E09000002,Barking and Dagenham,22930,23200,24240,25760,26260,27960,28510,30650,30750,32010,33260,34080
E09000003,Barnet,39190,39470,41010,43320,43890,46430,47050,50240,50100,51830,53540,54530
E09000004,Bexley,30060,30420,31760,33730,34370,36560,37260,40020,40130,41760,43380,44430
E09000005,Brent,29430,29500,30520,32120,32430,34200,34560,36820,36620,37810,38970,39630
E09000006,Bromley,37110,37640,39380,41880,42700,45450,46340,49770,49900,51900,53870,55140
E09000007,Camden,47940,48430,50470,53450,54270,57520,58390,62450,62330,64550,66710,67990
E09000008,Croydon,31740,32040,33380,35340,35890,38040,38630,41330,41280,42770,44240,45120
E09000009,Ealing,34000,34120,35340,37210,37570,39620,40020,42610,42360,43690,44990,45690
E09000010,Enfield,30750,30830,31900,33570,33890,35730,36100,38430,38210,39420,40600,41250
E09000011,Greenwich,28290,28830,30310,32390,33200,35520,36390,39290,39580,41370,43150,44370
E09000012,Hackney,26320,26900,28380,30430,31290,33580,34520,37380,37770,39580,41400,42690
E09000013,Hammersmith and Fulham,43100,43670,45640,48470,49350,52440,53370,57220,57250,59430,61580,62910
E09000014,Haringey,31510,31870,33250,35280,35890,38120,38790,41600,41640,43250,44850,45860
E09000015,Harrow,35720,35900,37240,39270,39730,41970,42480,45330,45160,46680,48190,49060
E09000016,Havering,30610,30910,32210,34140,34710,36860,37510,40230,40290,41860,43430,44430
E09000017,Hillingdon,32140,32360,33630,35530,36010,38110,38640,41300,41200,42660,44090,44950
E09000018,Hounslow,33000,33120,34300,36120,36490,38490,38890,41420,41190,42500,43790,44490
E09000019,Islington,37560,38050,39750,42220,43000,45710,46540,49920,49970,51890,53780,54950
E09000020,Kensington and Chelsea,75210,76790,80820,86390,88480,94550,96700,104170,104690,109110,113490,116350
E09000021,Kingston upon Thames,40100,40500,42180,44660,45340,48050,48770,52180,52100,53970,55820,56920
E09000022,Lambeth,33280,33700,35200,37380,38060,40450,41170,44160,44200,45890,47570,48610
E09000023,Lewisham,28930,29350,30720,32690,33360,35540,36270,38990,39130,40730,42320,43360
E09000024,Merton,39270,39770,41530,44090,44870,47670,48500,51990,52020,54000,55950,57160
E09000025,Newham,21270,21700,22860,24490,25160,26980,27720,30000,30310,31760,33220,34260
E09000026,Redbridge,32250,32480,33760,35690,36190,38320,38880,41580,41520,43010,44490,45380
E09000027,Richmond upon Thames,50450,51380,53940,57530,58800,62720,64040,68890,69140,71990,74800,76610
E09000028,Southwark,31770,32270,33810,36020,36790,39230,40050,43090,43260,45060,46840,48000
E09000029,Sutton,33220,33660,35180,37380,38090,40530,41300,44360,44470,46250,48020,49170
E09000030,Tower Hamlets,29690,30190,31670,33790,34580,36930,37790,40730,40970,42760,44530,45720
E09000031,Waltham Forest,26940,27250,28440,30200,30740,32680,33280,35710,35770,37180,38570,39460
E09000032,Wandsworth,44900,45530,47610,50610,51560,54840,55860,59950,60060,62410,64740,66220
E09000033,Westminster,55470,56250,58820,62490,63630,67610,68780,73710,73710,76450,79140,80760
